user_input,reference_contexts,reference,country_id
Register 2024 Notice Reg. No. 28 기준에 따른 이 규정의 목적은 무엇입니까?,"['Current through Register 2024 Notice Reg. No. 28, July 12, 2024\nThe purpose of these regulations are: to set forth rules\n\t\t\t\t\t and procedural requirements which the Commissioner deems necessary to carry out\n\t\t\t\t\t the provisions of the Act. The information called for by these regulations is\n\t\t\t\t\t hereby declared to be necessary and appropriate in the public interest and for\n\t\t\t\t\t the protection of policy holders and shareholders in this State. These\n\t\t\t\t\t regulations shall not curtail or contravene any statute.']","이 규정의 목적은 커미셔너(Commissioner)가 법률 조항을 이행하기 위해 필요하다고 판단하는 규칙과 절차적 요건을 규정하는 것입니다. 이 규정에서 요구하는 정보는 공익과 해당 주의 보험계약자 및 주주를 보호하기 위해 필요하고 적절한 것으로 선언되었으며, 본 규정은 어떠한 법령도 축소하거나 위반할 수 없습니다.",2
"주 안전 감독 프로그램(State safety oversight program)의 보완 조치가 미흡하여 인증을 받지 못할 경우, 교통부 장관(Secretary of Transportation)이 취할 수 있는 자금 관련 제재 조치에는 어떠한 것들이 있습니까?","['Secretary determines under subparagraph (A) adequately meets the requirements of this subsection, and shall issue a denial of certification to each eligible State that the Secretary determines under subparagraph (A) does not adequately meet the requirements of this subsection. (C) Disapproval.— If the Secretary determines that a State safety oversight program does not meet the requirements of this subsection and denies certification, the Secretary shall transmit to the eligible State a written explanation and allow the eligible State to modify and resubmit the State safety oversight program for approval. (D) Failure to correct.— If the Secretary determines that a modification by an eligible State of the State safety oversight program is not sufficient to certify the program, the Secretary— (i) shall notify the Governor of the eligible State of such denial of certification and failure to adequately modify the program, and shall request that the Governor take all possible actions to correct deficiencies in the program to ensure the certification of the program; and (ii) may— (I) withhold funds available under paragraph (6) in an amount determined by the Secretary ; (II) withhold not more than 5 percent of the amount required to be appropriated for use in a State or urbanized area in the State under section 5307 of this title , until the State safety oversight program has been certified; or (III) require fixed guideway public transportation systems under such State safety oversight program to provide up to 100 percent of Federal assistance made available under this chapter only for safety-related improvements on such systems, until the State safety oversight program has been certified. (8) Federal safety management.— (A) In general.— If the Secretary determines that a State safety oversight program is not being carried out in accordance with this section, has become inadequate to ensure the enforcement of Federal safety regulation , or is incapable of providing adequate safety oversight consistent with the prevention of substantial risk of death, or personal injury, the Secretary shall administer the State safety oversight program until the eligible State develops a State safety oversight program certified by the Secretary in accordance with this subsection. (B) Temporary federal oversight.— In making a determination under subparagraph (A), the Secretary shall— (i) transmit to the eligible State and affected recipient or recipients, a written explanation of the determination or subsequent finding, including any intention to withhold funding under this section, the amount of funds proposed to be withheld, and if applicable, a formal notice of a withdrawal of State safety oversight program approval; and (ii) require the State to submit a State safety oversight program or modification for certification by the Secretary that meets the requirements of this subsection. (C) Failure to correct.— If the Secretary determines in accordance with subparagraph (A), that a State safety oversight program or modification required pursuant to subparagraph (B)(ii), submitted by a State is not sufficient, the Secretary may— (i) withhold funds available under paragraph (6) in an amount determined by the Secretary ; (ii) beginning 1 year after the date of the determination, withhold not more than 5 percent of the amount required to be appropriated for use in a State or an urbanized area in the State under section 5307, until the State safety oversight program or modification has been certified; and (iii) use any other authorities authorized under this chapter considered necessary and appropriate. (D) Administrative and oversight activities.— To carry out administrative and oversight activities authorized by this paragraph, the Secretary may use grant funds apportioned to an eligible State , under paragraph (6), to develop or carry out a State safety oversight program. (9) Evaluation of program and annual report.— The Secretary shall continually evaluate the implementation of a State safety oversight program by a State safety oversight agency, and shall submit on or before July 1 of each year to the Committee on Banking, Housing, and Urban Affairs of the Senate and the Committee on Transportation and Infrastructure of the House of Representatives a report on— (A) the amount of funds apportioned to each eligible State ; and (B) the certification status of each State safety oversight program, including what steps a State program that has been denied certification must take in order to be certified. (10) Federal oversight.— The Secretary shall— (A) oversee the implementation of each State safety oversight program under this subsection; (B) audit the operations of each State safety oversight agency at least once triennially; and (C) issue rules to carry out this subsection. (11) Effectiveness of enforcement authorities and practices.— The Secretary shall develop and disseminate to State safety oversight agencies the process and methodology that the Secretary will use to monitor the effectiveness of the enforcement authorities and practices of State safety oversight agencies. (f) Authority of Secretary.— In carrying out this section, the Secretary may— (1) conduct inspections, investigations, audits, examinations, and testing of the equipment, facilities, rolling stock, and operations of the public transportation system of a recipient ; (2) make reports and issue directives with respect to the safety of the public transportation system of a recipient or the public transportation industry generally; (3) in conjunction with an accident investigation or an investigation into a pattern or practice of conduct that negatively affects public safety, issue a subpoena to, and take the deposition of, any employee of a recipient or a State safety oversight agency, if— (A) before the issuance of the subpoena, the Secretary requests a determination by the Attorney General of the United States as to whether the subpoena will interfere with an ongoing criminal investigation; and (B) the Attorney General— (i) determines that the subpoena will not interfere with an ongoing criminal investigation; or (ii) fails to make a determination under clause (i) before the date that is 30 days after the date on which the Secretary makes a request under subparagraph (A); (4) require the production of documents by, and prescribe recordkeeping and reporting requirements for, a recipient or a State safety oversight agency; (5) investigate public transportation accidents and incidents and provide guidance to recipients regarding prevention of accidents and incidents; (6) at reasonable times and in a reasonable manner, enter and inspect equipment, facilities, rolling stock, operations, and relevant records of the public transportation system of a recipient ; and (7) issue rules to carry out this section. (g) Enforcement Actions.— (1) Types of enforcement actions.— The Secretary may take enforcement action against a recipient that does not comply with Federal law with respect to the safety of the public transportation system, including— (A) issuing directives; (B) requiring more frequent oversight of the recipient by a State safety oversight agency or the Secretary; (C) imposing more frequent reporting requirements; (D) requiring that any Federal financial assistance provided under this chapter be spent on correcting safety deficiencies identified by the Secretary or the State safety oversight agency before such funds are spent on other projects; and (E) withholding not more than 25 percent of financial assistance under section 5307. (2) Use or withholding of funds.— (A) In general.— The Secretary may require the use of funds or withhold funds in accordance with paragraph (1)(D) or (1)(E) only if the Secretary finds that a recipient is engaged in a pattern or practice of serious safety violations or has otherwise refused to comply with Federal law relating to the safety of the public transportation system. (B) Notice.— Before withholding funds from a recipient , the Secretary shall provide to the recipient — (i) written notice of a violation and the amount proposed to be withheld; and (ii) a reasonable period of time within which the recipient may address the violation or propose and initiate an alternative means of compliance that the Secretary determines is acceptable. (h) Restrictions and Prohibitions.— (1) Restrictions and prohibitions.— The Secretary shall issue restrictions and prohibitions by whatever means are determined necessary and appropriate, without regard to section 5334(c), if, through testing, inspection, investigation, audit, or research carried out under this chapter, the Secretary determines that an unsafe condition or practice, or a combination of unsafe conditions and practices, exist such that there is a substantial risk of death or personal injury. (2) Notice.— The notice of restriction or prohibition shall describe the condition or practice, the subsequent risk and the standards and procedures required to address the restriction or prohibition. (3) Continued authority.— Nothing in this subsection shall be construed as limiting the Secretary ’s authority to maintain a restriction or prohibition for as long as is necessary to ensure that the risk has been substantially addressed. (i) Consultation by the Secretary of Homeland Security.— The Secretary of Homeland Security shall consult with the Secretary of Transportation before the Secretary of Homeland Security issues a rule or order that the Secretary of Transportation determines affects the safety of public transportation design, construction, or operations. (j) Actions Under State Law.— (1) Rule of construction.— Nothing in this section shall be construed to preempt an action under State law seeking damages for personal injury, death, or property damage alleging that a party has failed to comply with— (A) a Federal standard of care established by a regulation or order issued by the Secretary under this section; or (B) its own program, rule, or standard that it created pursuant to a rule or order issued by the Secretary . (2) Effective date.— This subsection shall apply to any cause of action under State law arising from an event or activity occurring on or after the date of enactment of the Federal Public Transportation Act of 2012. (3) Jurisdiction.— Nothing in this section shall be construed to create a cause of action under Federal law on behalf of an injured party or confer Federal question jurisdiction for a State law cause of action. (k) Inspections.— (1) Inspection access.— (A) In general.— A State safety oversight program shall provide the State safety oversight agency established by the program with the authority and capability to enter the facilities of each rail fixed guideway public transportation system that the State safety oversight agency oversees to inspect infrastructure, equipment, records, personnel, and data, including the data that the rail fixed guideway public transportation agency collects']","제공된 법률 조항에 따르면, 주 안전 감독 프로그램의 보완 조치가 인증을 받기에 충분하지 않다고 교통부 장관(Secretary of Transportation)이 판단할 경우, 장관은 해당 주의 주지사에게 인증 거부 및 프로그램 보완 실패 사실을 통보하고 결함을 시정하기 위한 모든 조치를 취할 것을 요청해야 합니다. 이와 더불어 교통부 장관은 다음과 같은 자금 관련 조치를 취할 수 있습니다: 1. 장관이 결정한 금액만큼 문단 (6)에 따라 이용 가능한 자금을 보류할 수 있습니다. 2. 주 안전 감독 프로그램이 인증될 때까지, 본 타이틀 제5307조에 따라 주 또는 주 내 도시화 지역에서 사용하도록 배정된 금액의 최대 5%를 보류할 수 있습니다. 3. 주 안전 감독 프로그램이 인증될 때까지, 해당 프로그램 하의 고정 가이드웨이 대중교통 시스템이 본 장에 따라 제공되는 연방 지원금의 최대 100%를 오직 해당 시스템의 안전 관련 개선 사항에만 사용하도록 요구할 수 있습니다.",2
"2024년 7월 12일 자 관보 등록 기준 규정에 따라, 대기 질 준수 담당관이 농업 및 계획된 소각을 규제하기 위한 일일 소각 승인 시스템을 개발할 때 고려해야 하는 요소는 무엇인가요?","['Current through Register 2024 Notice Reg. No. 28, July 12, 2024\nThe district smoke management programs shall include all\n\t\t\t\t\t\tof the elements in section\n\t\t\t\t\t\t80145. Procedures and other\n\t\t\t\t\t\trequirements contained in subsections\n\t\t\t\t\t\t80145(a) through\n\t\t\t\t\t\t(n) of this section shall be approved by\n\t\t\t\t\t\tdistrict board resolutions or adopted as rules and regulations:\n(a) A daily burn authorization system that\n\t\t\t\t\t regulates agricultural burning, including prescribed burning, in order to\n\t\t\t\t\t minimize smoke impacts on smoke sensitive areas, avoid cumulative smoke\n\t\t\t\t\t impacts, and prevent public nuisance. The burn authorization system shall not\n\t\t\t\t\t allow more burning on a daily basis than is appropriate for the meteorological\n\t\t\t\t\t or air quality conditions. The daily burn authorization system shall specify\n\t\t\t\t\t the amount, timing and location of each burn event. The burn authorization\n\t\t\t\t\t system shall be developed by the air district in consultation with the ARB,\n\t\t\t\t\t shall be commensurate with the air quality impacts from burning, and shall\n\t\t\t\t\t consider the following factors as necessary:\n(1) air quality;\n(2) meteorological conditions expected during\n\t\t\t\t\t burning, including wind speeds and directions at the surface and aloft, and\n\t\t\t\t\t atmospheric stability;\n(3) types\n\t\t\t\t\t and amounts of materials to be burned;\n(4) location and timing of materials to be\n\t\t\t\t\t burned;\n(5) locations of smoke\n\t\t\t\t\t sensitive areas; and\n(6) smoke from\n\t\t\t\t\t all burning activities, including burning in neighboring air districts or\n\t\t\t\t\t regions which may affect the district or region.']","2024년 7월 12일 자 규정에 따르면, 일일 소각 승인 시스템은 ARB와의 협의를 통해 개발되어야 하며 소각으로 인한 대기 질 영향에 상응해야 합니다. 이 시스템을 개발할 때 필요에 따라 고려해야 하는 요소는 다음과 같습니다: 1) 대기 질, 2) 지상 및 상공의 풍속과 풍향, 대기 안정도를 포함하여 소각 중 예상되는 기상 조건, 3) 소각할 물질의 종류 및 양, 4) 소각할 물질의 위치 및 시기, 5) 연기에 민감한 지역의 위치, 6) 해당 구역이나 지역에 영향을 미칠 수 있는 이웃 대기 구역 또는 지역의 소각 활동을 포함한 모든 소각 활동에서 발생하는 연기입니다.",2
"2016년 1월 1일부터 시행된 개정 법률에 따라, 비공인 투자자를 대상으로 증권을 발행하는 부동산 관련 발행인이 커미셔너에게 추가로 제출해야 하는 정보는 무엇입니까?","['25102.2. The commissioner shall require any issuer that is engaged in the business of purchasing, selling, financing, or brokering real estate, and that relies upon an exemption authorized by subdivision (e), (f), (h), or (n) of Section 25102, for an offering which involves the offer or sale of securities to any person who is not an accredited investor, as defined in Regulation D of the Securities and Exchange Commission (17 C.F.R. 230.501 et seq.), in a transaction that is not registered pursuant to the Securities Act of 1933, to provide additional information regarding the nature of the proposed offering on a form prescribed by the commissioner. This information shall include the names of the issuer’s officers and directors in the case of a corporation, managers in the case of a manager-managed limited liability company, members in the case of a member-managed limited liability company, general partner in the case of a limited partnership, or persons performing similar functions in the case of other types of issuers, the offering disclosure documents provided to prospective purchasers, a list of all state and federal licenses required to further the purposes of the investment, and the names of all licensed persons that will undertake those activities.\n(Amended by Stats. 2015, Ch. 263, Sec. 4. (SB 647) Effective January 1, 2016.)']","2016년 1월 1일부로 시행된 개정 규정에 따라, 해당 발행인은 커미셔너가 정한 양식에 따라 다음과 같은 추가 정보를 제공해야 합니다: 1. 발행인의 형태에 따른 책임자 이름: 법인의 경우 임원 및 이사, 관리자 관리형 유한책임회사(LLC)의 경우 관리자, 회원 관리형 유한책임회사의 경우 회원, 합자회사의 경우 무한책임동업자(GP), 또는 기타 형태의 발행인의 경우 이와 유사한 역할을 수행하는 사람의 이름 2. 예비 구매자에게 제공된 제공 공시 서류 3. 투자 목적을 추진하는 데 필요한 모든 주(state) 및 연방(federal) 면허 목록 4. 해당 활동을 수행할 모든 면허 소지자의 이름",2
"캘리포니아에 거주 중인 한인입니다. 혹시 \""캘리포니아 콘서배이션 콥스\""(California Conservation Corps)의 이해상충 규정(Conflict of Interest Code) 전체 텍스트를 직접 확인하거나 실비로 구매하고 싶은데, 세크라멘토에 있는 구체적인 주소와 이를 확인할 수 있는 다른 기관들의 위치가 어떻게 되나요? 법적 규정집을 직접 볼수잇는 곳이 궁금해서 문의드립니다.","['Current through Register 2024 Notice Reg. No. 28, July 12, 2024\nNOTE:\nThe adopting agency has requested its\n\t\t\t\tconflict-of-interest code be incorporated by reference into the CCR. The full text\n\t\t\t\tof the regulations is available to the public for review or purchase at cost at the\n\t\t\t\tfollowing locations:\nCALIFORNIA CONSERVATION CORPS\n1719 24TH STREET\nSACRAMENTO, CA 95816\nFAIR POLITICAL PRACTICES COMMISSION\n428 J STREET, SUITE 800\nSACRAMENTO, CA 95814\nARCHIVES\nSECRETARY OF STATE\n1020 ""O"" STREET\nSACRAMENTO, CA 95814\nThe Conflict of Interest Code is designated as Chapter 22, Division\n\t\t\t\t8 of Title 2 of the California Code of Regulations, and consists of sections\n\t\t\t\tnumbered and titled as follows:\nChapter 22. California Conservation Corps--Conflict of\n\t\t\t\tInterest Code\nSection\n43000.\nIntroduction\n43001.\nDefinition of Terms\n43002.\nDesignated Employees\n43003.\nDisclosure Statements\n43004.\nPlace of Filing\n43005.\nTime of Filing\n43006.\nContents of Statements\n43007.\nManner of Reporting\n43008.\nDisqualification\n43009.\nManner of Disqualification\nAppendix A\nAppendix B\nNote: Authority cited: Sections\n\t\t\t\t 81008,\n\t\t\t\t 87300 and\n\t\t\t\t 87306,\n\t\t\t\t Government Code. Reference: Section\n\t\t\t\t 87302,\n\t\t\t\t Government Code.\nNote: Authority cited: Sections\n\t\t\t\t 81008,\n\t\t\t\t 87300 and\n\t\t\t\t 87306,\n\t\t\t\t Government Code. Reference: Section\n\t\t\t\t 87302,\n\t\t\t\t Government Code.']","제공된 법률 문서에 따르면, 캘리포니아 보존단(California Conservation Corps)의 이해상충 규정(Conflict of Interest Code) 전체 텍스트를 검토하거나 실비로 구매할 수 있는 곳은 다음 세 가지 장소입니다:\n\n1. CALIFORNIA CONSERVATION CORPS\n주소: 1719 24TH STREET, SACRAMENTO, CA 95816\n\n2. FAIR POLITICAL PRACTICES COMMISSION\n주소: 428 J STREET, SUITE 800, SACRAMENTO, CA 95814\n\n3. ARCHIVES, SECRETARY OF STATE\n주소: 1020 \""O\"" STREET, SACRAMENTO, CA 95814\n\n해당 규정은 캘리포니아 행정법(CCR) 타이틀 2, 디비전 8, 챕터 22에 지정되어 있으며, 위 주소에서 일반 대중이 검토하거나 구매할 수 있도록 제공됩니다.",2
파파고 인디언 위원회(Papago Indian Council) 승인 광업 목적 수자원 사용 허가 규정,"['(a) Protection of existing rights The Secretary of the Interior, if he shall find it to be in the public interest, is authorized to restore to tribal ownership the remaining surplus lands of any Indian reservation heretofore opened, or authorized to be opened, to sale, or any other form of disposal by Presidential proclamation, or by any of the public-land laws of the United States: Provided, however, That valid rights or claims of any persons to any lands so withdrawn existing on the date of the withdrawal shall not be affected by this Act: Provided further, That this section shall not apply to lands within any reclamation project heretofore authorized in any Indian reservation. (b) Papago Indians; permits for easements, etc. (1) , (2) Repealed. May 27, 1955, ch. 106, § 1, 69 Stat. 67 . (3) Water reservoirs, charcos, water holes, springs, wells, or any other form of water development by the United States or the Papago Indians shall not be used for mining purposes under the terms of this Act, except under permit from the Secretary of the Interior approved by the Papago Indian Council: Provided, That nothing herein shall be construed as interfering with or affecting the validity of the water rights of the Indians of this reservation: Provided further, That the appropriation of living water heretofore or hereafter affected, by the Papago Indians is recognized and validated subject to all the laws applicable thereto. (4) Nothing herein contained shall restrict the granting or use of permits for easements or rights-of-way; or ingress or egress over the lands for all proper and lawful purposes. (June 18, 1934, ch. 576, § 3, 48 Stat. 984 ; Aug. 28, 1937, ch. 866, 50 Stat. 862 ; May 27, 1955, ch. 106, § 1, 69 Stat. 67 .)']","제공된 법률 규정에 따르면, 미국 정부나 파파고 인디언이 개발한 저수지, 차코(charcos), 용수 구멍, 샘, 우물 또는 기타 모든 형태의 수자원 개발 시설은 내무부 장관(Secretary of the Interior)의 허가를 받고 파파고 인디언 위원회(Papago Indian Council)의 승인을 얻은 경우를 제외하고는 광업 목적으로 사용할 수 없습니다.",3
2024년 7월 10일 등록부 기준으로요 기타 수입 증빙하는 기록 어떻게 보관해야 되요? 유틸리티가 수입이랑 비용 상세하게 내야 되는데...,"['Current through Register Vol. 46, No. 28, July 10, 2024\nThe records supporting the other income shall be so kept\n\t\t\t\t\t\tthat the utility can furnish detailed statements of the revenues from each\n\t\t\t\t\t\tsource and the expenses and other deductions related to such\n\t\t\t\t\t\trevenues.']","제공된 내용에 따르면, 기타 수입을 증빙하는 기록은 유틸리티가 각 원천별 수입과 해당 수입에 관련된 비용 및 기타 공제액에 대한 상세한 명세서를 제공할 수 있도록 보관되어야 합니다.",3
"주정부 부서가 지방정부의 자연 및 인공 미관 보존 활동을 지원할 때, 지방정부가 주 헌뻡과 법률에 의해 부여받은 권한을 완전히 활용하도록 돕는 구체적인 역할이 무엇인지 규정에 따라 설명해주실 수 있나요? 특히 헌버베 따른 권한 활용 지원에 대해 자세히 알고 싶습니다.","['§ 49-0103. General functions, powers and duties of the department.\nThe department shall have the power and it shall be its duty to:\n1. Develop, after consultation with local governments and interested\r\n persons, groups and institutions, policies and programs to preserve and\r\n enhance the natural and man-made beauty of the state, and encourage,\r\n facilitate and assist in the coordination of the activities of the\r\n various state agencies in furtherance of such policies and programs.\n2. Advise, encourage and assist local governments in the development\r\n and coordination of policies, programs and activities, and in the full\r\n utilization of powers vested in local governments by the Constitution\r\n and laws of the state, to preserve and enhance the natural and man-made\r\n beauty of the state.\n3. Conduct and coordinate studies, surveys and inventories of the vast\r\n natural and man-made resources contributing to the beauty of the state\r\n by virtue of their scenic, aesthetic, or cultural values.\n4. Designate scenic sites, areas, and highways in the state and\r\n develop programs for their preservation and enhancement, including but\r\n not limited to programs to discourage littering, defacement, and\r\n blighting of such scenic sites, areas and highways.\n5. Promote the application of aesthetic considerations in the\r\n location, design, construction and maintenance of state lands, projects\r\n and buildings.\n6. Serve as a clearing house for information relating to the\r\n preservation and enhancement of natural and man-made beauty.']","제공된 법률 규정(§ 49-0103 제2호)에 따르면, 해당 부서는 주의 자연 및 인공 미관을 보존하고 향상시키기 위해 지방정부가 헌법과 법률에 의해 부여받은 권한을 충분히 활용할 수 있도록 지원해야 합니다. 구체적으로 부서는 지방정부의 정책, 프로그램 및 활동의 개발과 조정을 자문하고, 장려하며, 지원하는 역할을 수행해야 합니다.",3
뉴욕주 행정명령 정의 규정에서 주 공무원 및 직원 State officer or employee 의미와 공직자법 Public Officers Law 제73조 적용 범위 검색,"['Current through Register Vol. 46, No. 28, July 10, 2024\nWHEREAS, New York State\'s municipalities and school\n\t\t\t\t\t districts are encumbered with unfunded and underfunded mandates from state\n\t\t\t\t\t government;\nWHEREAS, New York State\'s municipalities and school\n\t\t\t\t\t districts should administer services in the most efficient and effective manner\n\t\t\t\t\t possible so as to minimize the impact on local property taxpayers;\nWHEREAS, property tax levies in New York grew by 73 percent\n\t\t\t\t\t from 1998 to 2008-- more than twice the rate of inflation during that\n\t\t\t\t\t period;\nWHEREAS, New York has the second highest combined state and\n\t\t\t\t\t local taxes in the nation and the highest local taxes in America as a\n\t\t\t\t\t percentage of personal income --79 percent above the national average;\nWHEREAS, the median property taxes paid by New Yorkers are\n\t\t\t\t\t 96 percent above the national median;\nWHEREAS, when measured in absolute dollars paid,\n\t\t\t\t\t Westchester, Nassau and Rockland are among the five highest taxed counties in\n\t\t\t\t\t the nation, ranking first, second and fifth, respectively;\nWHEREAS, in 2009, when property taxes were measured as a\n\t\t\t\t\t percentage of home value, nine out of the top ten counties in the nation were\n\t\t\t\t\t all in Upstate New York;\nWHEREAS, New York State government now faces unprecedented\n\t\t\t\t\t budgetary challenges, requiring fundamental changes in the way it does\n\t\t\t\t\t business, eliminating failed approaches and creating improved ways to serve the\n\t\t\t\t\t public;\nWHEREAS, in order to reduce the burden of local property\n\t\t\t\t\t taxes, it is of compelling public importance that New York State conducts a\n\t\t\t\t\t rigorous, systematic and comprehensive review of mandates imposed on local\n\t\t\t\t\t governments, school districts and other local taxing districts, the reasons for\n\t\t\t\t\t such mandates and the costs on local governments, school districts and other\n\t\t\t\t\t local taxing districts that are associated with complying with such mandates;\n\t\t\t\t\t and\nWHEREAS, such a review will look for the best and most\n\t\t\t\t\t cost- efficient and cost- effective ways to deliver mandated programs and\n\t\t\t\t\t services and identify mandates that are ineffective, unnecessary, outdated and\n\t\t\t\t\t duplicative;\nNOW, THEREFORE, I, Andrew M. Cuomo, Governor of the State\n\t\t\t\t\t of New York, by virtue of the authority vested in me by the Constitution and\n\t\t\t\t\t statutes of the State of New York, do hereby order as follows:\nA. Definitions\nAs used herein, the following terms shall have the\n\t\t\t\t\t following meanings:\n1. ""State agency""\n\t\t\t\t or ""agency"" shall mean any state agency, department, office, board, bureau,\n\t\t\t\t division, committee, council or office.\n2. ""State officer or employee"" shall have the\n\t\t\t\t meaning given in Section 73 of the Public Officers Law.\n3. ""Local government"" shall mean a county,\n\t\t\t\t city, town, village or special district.\n4. ""School district"" shall mean a common,\n\t\t\t\t union free, central, city or central high school district.\n5. ""Unfunded mandate"" shall mean (i) any\n\t\t\t\t legal requirement that a local government provide or undertake any program,\n\t\t\t\t project or activity, or increase spending for an existing program, project,\n\t\t\t\t regulation or activity on behalf of New York State; or (ii) any legal\n\t\t\t\t requirement that a local government grant a new property tax exemption or\n\t\t\t\t broaden the eligibility, or increase the value of an existing property tax\n\t\t\t\t exemption; or (iii) any legal requirement that otherwise would likely have the\n\t\t\t\t effect of raising property taxes, and which fails to provide any\n\t\t\t\t funding.\n6. ""Underfunded mandate""\n\t\t\t\t shall mean (i) any legal requirement that a local government provide or\n\t\t\t\t undertake any program, project or activity, or increase spending for an\n\t\t\t\t existing program, project, regulation or activity on behalf of New York State;\n\t\t\t\t or (ii) any legal requirement that a local government grant a new property tax\n\t\t\t\t exemption or broaden the eligibility, or increase the value of an existing\n\t\t\t\t property tax exemption; or (iii) any legal requirement that otherwise would\n\t\t\t\t likely have the effect of raising property taxes, and which fails to provide\n\t\t\t\t sufficient funding.']","제공된 뉴욕주 행정명령에 따르면, ""주 공무원 또는 직원""(State officer or employee)은 공직자법(Public Officers Law) 제73조에 규정된 것과 동일한 의미를 가집니다.",3
"주 교통안전국장으로서 연방 정부의 중대 사고 선언 및 갱신에 따른 의회 보고 의무를 준수하고자 합니다. 이와 관련하여 연방 의회에 제출하는 통지서와 보고서의 기밀 분류 기준은 무엇이며, 특히 정보자유법(Freedom of Information Act)에 따라 공개가 면제되는 정보는 어떻게 처리하여 제출해야 합니까?","['(a) Notification Upon a declaration or renewal, the Secretary shall immediately notify the National Cyber Director and appropriate congressional committees and include in the notification— (1) an estimation of the planned duration of the declaration ; (2) with respect to a notification of a declaration , the reason for the declaration , including information relating to the specific significant incident or imminent specific significant incident , including— (A) the operational or mission impact or anticipated impact of the specific significant incident on Federal and non-Federal entities; (B) if known, the perpetrator of the specific significant incident ; and (C) the scope of the Federal and non-Federal entities impacted or anticipated to be impacted by the specific significant incident ; (3) with respect to a notification of a renewal , the reason for the renewal ; (4) justification as to why available resources, other than the Fund , are insufficient to respond to or mitigate the specific significant incident ; and (5) a description of the coordination activities described in section 677b(b) of this title that the Secretary anticipates the Director to perform. (b) Report to Congress Not later than 180 days after the date of a declaration or renewal, the Secretary shall submit to the appropriate congressional committees a report that includes— (1) the reason for the declaration or renewal, including information and intelligence relating to the specific significant incident that led to the declaration or renewal; (2) the use of any funds from the Fund for the purpose of responding to the incident or threat described in paragraph (1); (3) a description of the actions, initiatives, and projects undertaken by the Department and State and local governments and public and private entities in responding to and recovering from the specific significant incident described in paragraph (1); (4) an accounting of the specific obligations and outlays of the Fund ; and (5) an analysis of— (A) the impact of the specific significant incident described in paragraph (1) on Federal and non-Federal entities; (B) the impact of the declaration or renewal on the response to, and recovery from, the specific significant incident described in paragraph (1); and (C) the impact of the funds made available from the Fund as a result of the declaration or renewal on the recovery from, and response to, the specific significant incident described in paragraph (1). (c) Classification Each notification made under subsection (a) and each report submitted under subsection (b)— (1) shall be in an unclassified form with appropriate markings to indicate information that is exempt from disclosure under section 552 of title 5 (commonly known as the “ Freedom of Information Act ”); and (2) may include a classified annex. (d) Consolidated report The Secretary shall not be required to submit multiple reports under subsection (b) for multiple declarations or renewals if the Secretary determines that the declarations or renewals substantively relate to the same specific significant incident . (e) Exemption The requirements of subchapter I of chapter 35 of title 44 (commonly known as the “ Paperwork Reduction Act ”) shall not apply to the voluntary collection of information by the Department during an investigation of, a response to, or an immediate post-response review of, the specific significant incident leading to a declaration or renewal. ( Pub. L. 107–296, title XXII, § 2235 , as added Pub. L. 117–58, div. G, title VI, § 70602(a) , Nov. 15, 2021 , 135 Stat. 1270 .)']","제공된 법률 조항의 제(c)항(Classification)에 따르면, 중대 사고 선언 또는 갱신에 따라 작성되는 모든 통지서(subsection a)와 보고서(subsection b)는 다음과 같은 기준에 따라 제출되어야 합니다. 첫째, 모든 통지서와 보고서는 기본적으로 비기밀(unclassified) 형태로 작성되어야 합니다. 둘째, 비기밀 형태로 작성되더라도 미국 법전 제5조 제552조, 즉 일반적으로 \""정보자유법(Freedom of Information Act)\""으로 알려진 법률에 따라 공개가 면제되는 정보에 대해서는 해당 정보가 공개 면제 대상임을 나타내는 적절한 표시(appropriate markings)를 반드시 해야 합니다. 셋째, 필요한 경우 기밀로 분류된 부속서(classified annex)를 포함하여 제출할 수 있습니다.",3
