user_input,reference_contexts,reference,country_id
캘리포니아 커뮤니티 칼리지에서 근무하는 직원입니다. 제 급여에서 공제된 노조 회비는 교육구에서 언제까지 노조로 송금해야 하나요? 만약 제때 송금하지 않으면 소송을 할 수도 있나요?,"[""88167.5. (a) Notwithstanding any other provision of law, the governing board of a community college district that collects or deducts dues, agency fees, fair share fees, or any other fee or amount of money from the salary of a classified employee for the purpose of transmitting the money to an employee organization shall transmit the money to the employee organization within 15 days of issuing the paycheck containing the deduction to the employee. (b) (1) This section does not limit the right of an employee organization or affected employee to sue for a failure of the employer to transmit dues or fees pursuant to this section. (2) In an action brought for a violation of subdivision (a), the court may award reasonable attorney’s fees and costs to the prevailing party if any party to the action requests attorney’s fees and costs. (c) This section applies to districts that have adopted the merit system in the same manner and effect as if it were a part of Article 3 (commencing with Section 88060). (Amended by Stats. 2006, Ch. 538, Sec. 139. Effective January 1, 2007.)""]","캘리포니아 법에 따르면, 커뮤니티 칼리지 교육구 이사회는 분류직 직원의 급여에서 공제한 노조 회비 등의 금액을 해당 공제가 포함된 급여 수표를 발행한 날로부터 15일 이내에 직원 단체에 송금해야 합니다. 만약 교육구가 이를 송금하지 않는 경우, 영향을 받은 직원이나 직원 단체는 소송을 제기할 권리가 있으며, 소송 시 당사자의 요청에 따라 법원은 승소한 당사자에게 합리적인 변호사 비용과 소송 비용을 인정할 수 있습니다.",2
캘리포니아에서 만 21세 미만 운전자가 경찰의 예비 음주 측정이나 화학 검사를 거부하면 면허가 정지되나요?,"[""23136. (a) Notwithstanding Sections 23152 and 23153, it is unlawful for a person under the age of 21 years who has a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test, to drive a vehicle. However, this section shall not be a bar to prosecution under Section 23152 or 23153 or any other provision of law. (b) A person shall be found to be in violation of subdivision (a) if the person was, at the time of driving, under the age of 21 years, and the trier of fact finds that the person had consumed an alcoholic beverage and was driving a vehicle with a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test. (c) (1) Any person under the age of 21 years who drives a motor vehicle is deemed to have given his or her consent to a preliminary alcohol screening test or other chemical test for the purpose of determining the presence of alcohol in the person, if lawfully detained for an alleged violation of subdivision (a). (2) The testing shall be incidental to a lawful detention and administered at the direction of a peace officer having reasonable cause to believe the person was driving a motor vehicle in violation of subdivision (a). (3) The person shall be told that his or her failure to submit to, or the failure to complete, a preliminary alcohol screening test or other chemical test as requested will result in the suspension or revocation of the person’s privilege to operate a motor vehicle for a period of one year to three years, as provided in Section 13353.1. (Amended by Stats. 1996, Ch. 10, Sec. 18. Effective February 9, 1996.)""]","캘리포니아 법에 따라 만 21세 미만의 운전자가 요청받은 예비 음주 측정 또는 기타 화학 검사에 응하지 않거나 완료하지 못할 경우, 운전 면허가 1년에서 3년 동안 정지 또는 취소될 수 있습니다.",2
"캘리포니아에서 가족 지원금을 신청하려고 합니다. 의붓형제나 이복동생 앞으로 나오는 아동 양육비(child support)가 있는 경우, 이 양육비가 가족 소득으로 계산되어 지원금 액수에 영향을 주나요?","[""11450.17. (a) (1) For purposes of determining the maximum aid payment specified in subdivision (a) of Section 11450 and for no other purpose, the number of needy persons in the same family shall not include a stepsibling or a half-sibling, as defined in subdivision (d). (2) One hundred percent of any child support payment received for a child described in subdivision (d) shall be paid to the assistance unit. Any child support payment received for that child shall not be considered as income to the family for the purpose of calculating the amount of aid for which the family is eligible under this article. (b) Each county welfare department shall notify applicants for assistance under this chapter, in writing, of the provisions of this section. The county welfare department shall also provide the notification to recipients of aid under this chapter, in writing, at the time of redetermination, or sooner. (c) Both the department and the Department of Child Support Services shall each seek all appropriate federal waivers for the implementation of this section as necessary. If federal waivers are deemed necessary, this section shall be implemented only if federal waivers are granted. (d) For purposes of this section, “stepsibling” or “half-sibling” means a child who meets all of the following conditions: (1) He or she lives with at least one eligible child. (2) He or she is a child for whom child support payments are received. (3) The monthly child support payments received for the child are greater than the monthly amount of aid that the child would receive under Section 11450. (4) The parent or caretaker relative for the assistance unit has requested in writing that the child not be included in the number of needy persons used to calculate the maximum aid payment. (e) The designation of whether or not a child is a stepsibling or half-sibling, as defined in subdivision (d), shall only be made or reevaluated at the same time as the annual redetermination of eligibility and the processing of the semiannual report, except when it has been determined by the county that good cause exists for the designation to be made at a different time when the parent or caretaker relative voluntarily reports mid-period pursuant to Section 11265.3 or 11265.47 that the child support payment or payments have decreased or ended. (f) This section shall become operative on November 1, 2018. (Added by Stats. 2017, Ch. 729, Sec. 3. (SB 380) Effective January 1, 2018. Section operative November 1, 2018, by its own provisions.)""]","캘리포니아주 규정에 따르면, 특정 조건(d항)을 충족하는 의붓형제(stepsibling) 또는 이복동생(half-sibling)을 위해 받는 아동 양육비(child support)의 100%는 지원 가구(assistance unit)에 지급되며, 해당 가구가 받을 수 있는 지원금 액수를 계산할 때 가족 소득으로 간주되지 않습니다.",2
뉴욕에서 근무 중 폭행을 당해 부상을 입고 일을 그만두게 되었습니다. 이 경우 휴직 기간을 최소 몇 년 동안 보장받을 수 있나요?,"[""§ 71. Reinstatement after separation for disability. Where an employee has been separated from the service by reason of a disability resulting from occupational injury or disease as defined in the workmen's compensation law, he or she shall be entitled to a leave of absence for at least one year, unless his or her disability is of such a nature as to permanently incapacitate him or her for the performance of the duties of his or her position. Notwithstanding the foregoing, where an employee has been separated from the service by reason of a disability resulting from an assault sustained in the course of his or her employment, he or she shall be entitled to a leave of absence for at least two years, unless his or her disability is of such a nature as to permanently incapacitate him or her for the performance of the duties of his or her position. Such employee may, within one year after the termination of such disability, make application to the civil service department or municipal commission having jurisdiction over the position last held by such employee for a medical examination to be conducted by a medical officer selected for that purpose by such department or commission. If, upon such medical examination, such medical officer shall certify that such person is physically and mentally fit to perform the duties of his or her former position, he or she shall be reinstated to his or her former position, if vacant, or to a vacancy in a similar position or a position in a lower grade in the same occupational field, or to a vacant position for which he or she was eligible for transfer. If no appropriate vacancy shall exist to which reinstatement may be made, or if the work load does not warrant the filling of such vacancy, the name of such person shall be placed upon a preferred list for his or her former position, and he or she shall be eligible for reinstatement from such preferred list for a period of four years. In the event that such person is reinstated to a position in a grade lower than that of his or her former position, his or her name shall be placed on the preferred eligible list for his or her former position or any similar position. This section shall not be deemed to modify or supersede any other provisions of law applicable to the re-employment of persons retired from the public service on account of disability.""]","뉴욕주 법에 따르면, 근무 중 발생한 폭행으로 인한 장애로 인해 직장을 떠나게 된 직원은 해당 장애가 직무를 영구적으로 수행할 수 없을 정도가 아니라면 최소 2년 동안의 휴직 기간(leave of absence)을 보장받을 수 있습니다.",3
뉴욕에서 공항 근로자를 고용하고 있는 사업주입니다. 직원들의 급여나 근무 시간 기록은 최소 몇 년 동안 보관해야 하나요?,"[""§ 696-e. Records of employers. For every employee covered by this article, every employer shall establish, maintain, and preserve for not less than six years contemporaneous, true, and accurate payroll records showing for each week worked the hours worked, the compensation provided, plus such other information as the commissioner deems material and necessary. For all covered airport workers who are not exempt from overtime compensation as established in the commissioner's minimum wage orders or otherwise provided by law, rule, or regulation, the payroll records shall include the compensation provided and the regular hourly rate or rates of pay, the overtime rate or rates of pay, the number of regular hours worked, the number of overtime hours worked and the cost of benefits and/or benefit supplements. On demand, the employer shall furnish to the commissioner or his or her duly authorized representative a sworn statement of the hours worked, rate or rates of compensation, for each covered airport worker, plus such other information as the commissioner deems material and necessary. Every employer shall keep such records open to inspection by the commissioner or his or her duly authorized representative at any reasonable time. Every employer of a covered airport worker shall keep a digest and summary of this article which shall be prepared by the commissioner, posted in a conspicuous place in his or her establishment and shall also keep posted such additional copies of said digest and summary as the commissioner prescribes. Employers shall, on request, be furnished with copies of this article and of orders, and of digests and summaries thereof, without charge. Employers shall permit the commissioner or his or her duly authorized representative to question without interference any employee of such employer in a private location at the place of employment and during working hours in respect to the wages paid to and the hours worked by such employee or other employees.""]","뉴욕 법에 따르면, 고용주는 이 법의 적용을 받는 모든 직원에 대해 매주 근무한 시간과 지급된 보상 등을 보여주는 실제적이고 정확한 급여 기록을 최소 6년 동안 수립, 유지 및 보존해야 합니다.",3
"뉴욕에서 술을 마시고 운전할 때, 도로가 아닌 개인 주택 마당 같은 사유지에서도 음주운전으로 단속되나요?","[""§ 1192. Operating a motor vehicle while under the influence of alcohol or drugs. 1. Driving while ability impaired. No person shall operate a motor vehicle while the person's ability to operate such motor vehicle is impaired by the consumption of alcohol. 2. Driving while intoxicated; per se. No person shall operate a motor vehicle while such person has .08 of one per centum or more by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article. 2-a. Aggravated driving while intoxicated. (a) Per se. No person shall operate a motor vehicle while such person has .18 of one per centum or more by weight of alcohol in such person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva made pursuant to the provisions of section eleven hundred ninety-four of this article. (b) With a child. No person shall operate a motor vehicle in violation of subdivision two, three, four or four-a of this section while a child who is fifteen years of age or less is a passenger in such motor vehicle. 3. Driving while intoxicated. No person shall operate a motor vehicle while in an intoxicated condition. 4. Driving while ability impaired by drugs. No person shall operate a motor vehicle while the person's ability to operate such a motor vehicle is impaired by the use of a drug as defined in this chapter. 4-a. Driving while ability impaired by the combined influence of drugs or of alcohol and any drug or drugs. No person shall operate a motor vehicle while the person's ability to operate such motor vehicle is impaired by the combined influence of drugs or of alcohol and any drug or drugs. 5. Commercial motor vehicles: per se - level I. Notwithstanding the provisions of section eleven hundred ninety-five of this article, no person shall operate a commercial motor vehicle while such person has .04 of one per centum or more but not more than .06 of one per centum by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article; provided, however, nothing contained in this subdivision shall prohibit the imposition of a charge of a violation of subdivision one of this section, or of section eleven hundred ninety-two-a of this article where a person under the age of twenty-one operates a commercial motor vehicle where a chemical analysis of such person's blood, breath, urine, or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article, indicates that such operator has .02 of one per centum or more but less than .04 of one per centum by weight of alcohol in such operator's blood. 6. Commercial motor vehicles; per se - level II. Notwithstanding the provisions of section eleven hundred ninety-five of this article, no person shall operate a commercial motor vehicle while such person has more than .06 of one per centum but less than .08 of one per centum by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article; provided, however, nothing contained in this subdivision shall prohibit the imposition of a charge of a violation of subdivision one of this section. 7. Where applicable. The provisions of this section shall apply upon public highways, private roads open to motor vehicle traffic and any other parking lot. For the purposes of this section \""parking lot\"" shall mean any area or areas of private property, including a driveway, near or contiguous to and provided in connection with premises and used as a means of access to and egress from a public highway to such premises and having a capacity for the parking of four or more motor vehicles. The provisions of this section shall not apply to any area or areas of private property comprising all or part of property on which is situated a one or two family residence. 8. Effect of prior out-of-state conviction. A prior out-of-state conviction for operating a motor vehicle while under the influence of alcohol or drugs shall be deemed to be a prior conviction of a violation of this section for purposes of determining penalties imposed under this section or for purposes of any administrative action required to be taken pursuant to subdivision two of section eleven hundred ninety-three of this article; provided, however, that such conduct, had it occurred in this state, would have constituted a misdemeanor or felony violation of any of the provisions of this section. Provided, however, that if such conduct, had it occurred in this state, would have constituted a violation of any provisions of this section which are not misdemeanor or felony offenses, then such conduct shall be deemed to be a prior conviction of a violation of subdivision one of this section for purposes of determining penalties imposed under this section or for purposes of any administrative action required to be taken pursuant to subdivision two of section eleven hundred ninety-three of this article. 8-a. Effect of prior finding of having consumed alcohol. A prior finding that a person under the age of twenty-one has operated a motor vehicle after having consumed alcohol pursuant to section eleven hundred ninety-four-a of this article shall have the same effect as a prior conviction of a violation of subdivision one of this section solely for the purpose of determining the length of any license suspension or revocation required to be imposed under any provision of this article, provided that the subsequent offense is committed prior to the expiration of the retention period for such prior offense or offenses set forth in paragraph (k) of subdivision one of section two hundred one of this chapter. 9. Conviction of a different charge. A driver may be convicted of a violation of subdivision one, two or three of this section, notwithstanding that the charge laid before the court alleged a violation of subdivision two or three of this section, and regardless of whether or not such conviction is based on a plea of guilty. 10. Plea bargain limitations. (a) (i) In any case wherein the charge laid before the court alleges a violation of subdivision two, three, four or four-a of this section, any plea of guilty thereafter entered in satisfaction of such charge must include at least a plea of guilty to the violation of the provisions of one of the subdivisions of this section, other than subdivision five or six, and no other disposition by plea of guilty to any other charge in satisfaction of such charge shall be authorized; provided, however, if the district attorney, upon reviewing the available evidence, determines that the charge of a violation of this section is not warranted, such district attorney may consent, and the court may allow a disposition by plea of guilty to another charge in satisfaction of such charge; provided, however, in all such cases, the court shall set forth upon the record the basis for such disposition. (ii) In any case wherein the charge laid before the court alleges a violation of subdivision two, three, four or four-a of this section, no plea of guilty to subdivision one of this section shall be accepted by the court unless such plea includes as a condition thereof the requirement that the defendant attend and complete the alcohol and drug rehabilitation program established pursuant to section eleven hundred ninety-six of this article, including any assessment and treatment required thereby; provided, however, that such requirement may be waived by the court upon application of the district attorney or the defendant demonstrating that the defendant, as a condition of the plea, has been required to enter into and complete an alcohol or drug treatment program prescribed pursuant to an alcohol or substance abuse screening or assessment conducted pursuant to section eleven hundred ninety-eight-a of this article or for other good cause shown. The provisions of this subparagraph shall apply, notwithstanding any bars to""]","뉴욕주의 음주운전 규정은 공공 도로, 차량 통행에 개방된 사설 도로, 그리고 4대 이상의 차량을 주차할 수 있는 주차장(공공 도로와의 진출입로로 사용되는 사유지 구역 포함)에 적용됩니다. 그러나 1가구 또는 2가구 주택이 위치한 사유지 구역에는 이 음주운전 규정이 적용되지 않습니다.",3
"뉴욕에서 일하고 있는 직장인입니다. '스프레드 오브 아워(spread of hours)'가 정확히 무엇을 의미하며, 여기에 식사 시간이나 쉬는 시간도 포함되는지 궁금합니다.","[""Current through Register Vol. 46, No. 28, July 10, 2024 The spread of hours is the interval between the beginning and end of an employee's workday. The spread of hours for any day includes working time plus time off for meals plus intervals off duty.""]","뉴욕주 규정에 따르면, '스프레드 오브 아워(spread of hours)'는 근로자의 근무일이 시작되는 시점부터 종료되는 시점 사이의 간격을 뜻합니다. 특정 날의 스프레드 오브 아워를 계산할 때는 실제 근무 시간뿐만 아니라 식사 시간 및 근무 외 대기/휴식 시간(intervals off duty)이 모두 포함됩니다.",3
뉴욕에 있는 인디언 보호구역에서 담배를 사면 세금이 면제되나요? 저 같은 일반 여행객도 면세 혜택을 받을 수 있는지 궁금합니다.,"[""Current through Register Vol. 46, No. 28, July 10, 2024 Tax Law, §§ 470, 471, 471-e and 475 (a) General. (1) Qualified Indians may purchase cigarettes for such qualified Indians' own use or consumption exempt from cigarette tax on their nations' or tribes' qualified reservations. However, such qualified Indians purchasing cigarettes off their reservations or on another nation's or tribe's reservation, and non-Indians making cigarette purchases on an Indian reservation are not exempt from paying the cigarette tax when purchasing cigarettes within this State. (2) All cigarettes sold on an Indian reservation to non-members of the Indian nation or tribe and to non-Indians will be taxed, and evidence of such tax will be by means of an affixed cigarette tax stamp. (3) All cigarettes sold by agents and wholesale dealers to Indian nations or tribes or reservation cigarette sellers located on Indian reservations must bear a tax stamp. (4) As provided in subdivision (b) of this section, an Indian nation or tribe may elect to participate in the Indian tax exemption coupon system established in section 471-e of the Tax Law which provides a mechanism for the collection of tax on cigarette sales on its qualified reservation to non-members of the Indian nation or tribe and to non-Indians and for the delivery of quantities of tax-exempt cigarettes to the Indian nation or tribe for the use or consumption of the nation or tribe or by its members. (5) If an Indian nation or tribe within this State does not elect to participate in the Indian tax exemption coupon system, the prior approval system established in section 471 (5) of the Tax Law will be the mechanism for the delivery of quantities of tax-exempt cigarettes to the Indian nation or tribe for the use or consumption of the nation or tribe or by its members as set forth in subdivision (d) of this section.""]","뉴욕주 규정에 따르면, 인디언 부족의 구성원이 아닌 사람이나 비인디언이 인디언 보호구역에서 담배를 구매할 때는 담배세 면제 혜택을 받을 수 없으며 세금이 부과됩니다. 담배세 면제는 자격을 갖춘 인디언이 본인의 사용 또는 소비를 위해 본인 부족의 보호구역에서 담배를 구매하는 경우에만 적용됩니다.",3
"캐나다에서 출국을 준비하고 있는데, 아직 납부 기한이 되지 않은 세금이나 납부금에 대해 장관이 미리 내라고 요구할 수도 있나요?","[""Person leaving Canada or defaulting (1) If the Minister suspects that a person has left or is about to leave Canada, the Minister may, before the day otherwise fixed for payment, by notice to the person served personally or sent by registered or certified mail addressed to their last known address, demand payment of any amount for which the person is liable under this Act or would be so liable if the time for payment had arrived, and the amount shall be paid without delay despite any other provision of this Act. Seizure (2) If a person fails to pay an amount required under subsection (1), the Minister may direct that things of the person be seized, and subsections 293(2) to (4) apply, with any modifications that the circumstances require.""]","네, 장관은 귀하가 캐나다를 떠났거나 떠나려 한다고 의심하는 경우, 원래 정해진 납부일 이전이라도 이 법에 따라 납부해야 하거나 납부 기한이 도래했을 때 납부해야 할 금액의 지급을 요구할 수 있습니다. 이 통지는 개인적으로 전달되거나 마지막으로 알려진 주소로 등기 또는 증명 우편으로 발송되며, 해당 금액은 다른 규정에도 불구하고 지체 없이 납부해야 합니다. 만약 이를 납부하지 않을 경우 장관은 해당 인물의 물건을 압류하도록 지시할 수 있습니다.",5
"캐나다에서 회사에 다니고 있습니다. 이미 승인받아 사용 중인 연차 휴가를 중단하고, 다른 법정 휴직(leave of absence)을 사용하는 것이 가능한가요?","[""Interruption (1) An employee may interrupt a vacation granted to them under this Division in order to permit them to take a leave of absence under Division VII or VIII or section 247.5 or to be absent due to a reason referred to in subsection 239(1) or 239.1(1). Application of section 209.1 (2) If an employee interrupts a vacation to take leave under any of sections 205.1, 206, 206.1 and 206.3 to 206.9 and resumes the vacation immediately at the end of that leave, section 209.1 applies to them as if they did not resume the vacation before returning to work. Application of section 210.2 (2.1) If an employee interrupts a vacation to take leave under Division VIII and resumes the vacation immediately at the end of that leave, section 210.2 applies to them as if they did not resume the vacation before returning to work. Application of subsection 239(7) (3) If an employee interrupts a vacation to be absent due to a reason referred to in subsection 239(1) and resumes the vacation immediately at the end of that leave, subsection 239(7) applies to them as if they did not resume the vacation before returning to work. (3.1) [Repealed, 2021, c. 26, s. 20] Application of subsections 239.1(3) and (4) (4) If an employee interrupts a vacation to be absent due to a reason referred to in subsection 239.1(1) and resumes the vacation immediately at the end of that leave, subsections 239.1(3) and (4) apply to them as if they did not resume the vacation before returning to work. Application of sections 247.93 to 247.95 (5) If an employee interrupts a vacation to take leave under section 247.5 and resumes the vacation immediately at the end of that leave, sections 247.93 to 247.95 apply to that employee as if they did not resume the vacation before returning to work. Notice to employer — interruption of vacation (6) An employee who intends to interrupt their vacation shall provide the employer with written notice of the interruption before or as soon as possible after the interruption begins. Notice to employer — resumption of vacation (7) An employee who interrupts their vacation and who intends to resume it immediately after the interruption ends shall provide the employer with written notice of the day on which they resume their vacation before or as soon as possible after that day. 2017, c. 33, s. 202 2018, c. 27, s. 455 2018, c. 27, s. 533 2020, c. 5, s. 37 2020, c. 12, s. 4.1 2021, c. 23, s. 340 2021, c. 23, s. 345 2021, c. 26, s. 20 2021, c. 26, s. 26 2024, c. 15, s. 197""]","네, 가능합니다. 근로자는 Division VII 또는 VIII, 혹은 제247.5조에 따른 휴직을 사용하거나 제239(1)조 또는 제239.1(1)조에 따른 사유로 결근하기 위해 이미 부여된 휴가를 중단할 수 있습니다.",5
