user_input,reference_contexts,reference,country_id
저 스물도 안 됐는데 경찰이 음주 측정 요구하면 거부해도 돼요?,"[""23136. (a) Notwithstanding Sections 23152 and 23153, it is unlawful for a person under the age of 21 years who has a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test, to drive a vehicle. However, this section shall not be a bar to prosecution under Section 23152 or 23153 or any other provision of law. (b) A person shall be found to be in violation of subdivision (a) if the person was, at the time of driving, under the age of 21 years, and the trier of fact finds that the person had consumed an alcoholic beverage and was driving a vehicle with a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test. (c) (1) Any person under the age of 21 years who drives a motor vehicle is deemed to have given his or her consent to a preliminary alcohol screening test or other chemical test for the purpose of determining the presence of alcohol in the person, if lawfully detained for an alleged violation of subdivision (a). (2) The testing shall be incidental to a lawful detention and administered at the direction of a peace officer having reasonable cause to believe the person was driving a motor vehicle in violation of subdivision (a). (3) The person shall be told that his or her failure to submit to, or the failure to complete, a preliminary alcohol screening test or other chemical test as requested will result in the suspension or revocation of the person’s privilege to operate a motor vehicle for a period of one year to three years, as provided in Section 13353.1. (Amended by Stats. 1996, Ch. 10, Sec. 18. Effective February 9, 1996.)""]","21세 미만 운전자는 음주 측정 요구에 응할 의무가 있습니다. 요청된 검사를 거부하거나 완료하지 않을 경우, 운전 면허가 1년에서 3년간 정지 또는 취소될 수 있습니다.",2
신용보험 가입했는데 마음이 바뀌었어요. 해지할 수 있나요?,"[""779.31. The debtor shall have the right to terminate credit life insurance or credit disability insurance at any time for any reason upon notice to the creditor. A refund shall be paid or credited as provided in Section 779.14 or by the regulation of the commissioner. If the premium refund is paid to the creditor, the creditor shall credit the debtor’s account with the refund and any interest or finance charge adjustment as provided in the credit agreement. (Added by Stats. 1983, Ch. 973, Sec. 3.)""]",이유에 관계없이 언제든지 채권자에게 통지하여 해지할 수 있습니다. 해지 시 환급금은 채무자 계좌에 크레딧으로 처리되거나 채무자에게 직접 환불됩니다.,2
세금을 너무 많이 냈는데 돌려받을 수 있나요?,"[""19302. If the Franchise Tax Board determines that the taxpayer paid an amount not required to be paid under this part, the Franchise Tax Board shall set forth that fact in its records and may either credit the amount on any amounts then due and payable under this part from the taxpayer by whom the amount was paid or refund the amount or the balance to the taxpayer or the taxpayer’s successors, administrators, or executors. (Amended by Stats. 1994, Ch. 726, Sec. 35. Effective September 22, 1994.)""]","세무국이 초과 납부 사실을 확인하면, 현재 미납된 세금에 상계하거나 납세자에게 직접 환급해 줍니다.",2
미국 비자 신청 기록이 정부에 얼마나 오래 보관돼요?,"[""The Department of State shall retain, for a period of seven years from the date of application, every application for a nonimmigrant visa under section 101(a)(15) of the Immigration and Nationality Act ( 8 U.S.C. 1101(a)(15) ) in a form that will be admissible in the courts of the United States or in administrative proceedings, including removal proceedings under such Act [ 8 U.S.C. 1101 et seq.], without regard to whether the application was approved or denied. ( Pub. L. 107–173, title VI, § 606 , May 14, 2002 , 116 Stat. 565 .)""]",비이민 비자 신청서는 신청일로부터 7년간 보관됩니다. 승인·거절 여부와 관계없이 동일하게 적용됩니다.,2
아이 태우고 음주운전하면 더 심하게 처벌받나요?,"[""§ 1192. Operating a motor vehicle while under the influence of alcohol or drugs. 1. Driving while ability impaired. No person shall operate a motor vehicle while the person's ability to operate such motor vehicle is impaired by the consumption of alcohol. 2. Driving while intoxicated; per se. No person shall operate a motor vehicle while such person has .08 of one per centum or more by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article. 2-a. Aggravated driving while intoxicated. (a) Per se. No person shall operate a motor vehicle while such person has .18 of one per centum or more by weight of alcohol in such person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva made pursuant to the provisions of section eleven hundred ninety-four of this article. (b) With a child. No person shall operate a motor vehicle in violation of subdivision two, three, four or four-a of this section while a child who is fifteen years of age or less is a passenger in such motor vehicle. 3. Driving while intoxicated. No person shall operate a motor vehicle while in an intoxicated condition. 4. Driving while ability impaired by drugs. No person shall operate a motor vehicle while the person's ability to operate such a motor vehicle is impaired by the use of a drug as defined in this chapter. 4-a. Driving while ability impaired by the combined influence of drugs or of alcohol and any drug or drugs. No person shall operate a motor vehicle while the person's ability to operate such motor vehicle is impaired by the combined influence of drugs or of alcohol and any drug or drugs. 5. Commercial motor vehicles: per se - level I. Notwithstanding the provisions of section eleven hundred ninety-five of this article, no person shall operate a commercial motor vehicle while such person has .04 of one per centum or more but not more than .06 of one per centum by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article; provided, however, nothing contained in this subdivision shall prohibit the imposition of a charge of a violation of subdivision one of this section, or of section eleven hundred ninety-two-a of this article where a person under the age of twenty-one operates a commercial motor vehicle where a chemical analysis of such person's blood, breath, urine, or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article, indicates that such operator has .02 of one per centum or more but less than .04 of one per centum by weight of alcohol in such operator's blood. 6. Commercial motor vehicles; per se - level II. Notwithstanding the provisions of section eleven hundred ninety-five of this article, no person shall operate a commercial motor vehicle while such person has more than .06 of one per centum but less than .08 of one per centum by weight of alcohol in the person's blood as shown by chemical analysis of such person's blood, breath, urine or saliva, made pursuant to the provisions of section eleven hundred ninety-four of this article; provided, however, nothing contained in this subdivision shall prohibit the imposition of a charge of a violation of subdivision one of this section. 7. Where applicable. The provisions of this section shall apply upon public highways, private roads open to motor vehicle traffic and any other parking lot. For the purposes of this section \""parking lot\"" shall mean any area or areas of private property, including a driveway, near or contiguous to and provided in connection with premises and used as a means of access to and egress from a public highway to such premises and having a capacity for the parking of four or more motor vehicles. The provisions of this section shall not apply to any area or areas of private property comprising all or part of property on which is situated a one or two family residence. 8. Effect of prior out-of-state conviction. A prior out-of-state conviction for operating a motor vehicle while under the influence of alcohol or drugs shall be deemed to be a prior conviction of a violation of this section for purposes of determining penalties imposed under this section or for purposes of any administrative action required to be taken pursuant to subdivision two of section eleven hundred ninety-three of this article; provided, however, that such conduct, had it occurred in this state, would have constituted a misdemeanor or felony violation of any of the provisions of this section. Provided, however, that if such conduct, had it occurred in this state, would have constituted a violation of any provisions of this section which are not misdemeanor or felony offenses, then such conduct shall be deemed to be a prior conviction of a violation of subdivision one of this section for purposes of determining penalties imposed under this section or for purposes of any administrative action required to be taken pursuant to subdivision two of section eleven hundred ninety-three of this article. 8-a. Effect of prior finding of having consumed alcohol. A prior finding that a person under the age of twenty-one has operated a motor vehicle after having consumed alcohol pursuant to section eleven hundred ninety-four-a of this article shall have the same effect as a prior conviction of a violation of subdivision one of this section solely for the purpose of determining the length of any license suspension or revocation required to be imposed under any provision of this article, provided that the subsequent offense is committed prior to the expiration of the retention period for such prior offense or offenses set forth in paragraph (k) of subdivision one of section two hundred one of this chapter. 9. Conviction of a different charge. A driver may be convicted of a violation of subdivision one, two or three of this section, notwithstanding that the charge laid before the court alleged a violation of subdivision two or three of this section, and regardless of whether or not such conviction is based on a plea of guilty. 10. Plea bargain limitations. (a) (i) In any case wherein the charge laid before the court alleges a violation of subdivision two, three, four or four-a of this section, any plea of guilty thereafter entered in satisfaction of such charge must include at least a plea of guilty to the violation of the provisions of one of the subdivisions of this section, other than subdivision five or six, and no other disposition by plea of guilty to any other charge in satisfaction of such charge shall be authorized; provided, however, if the district attorney, upon reviewing the available evidence, determines that the charge of a violation of this section is not warranted, such district attorney may consent, and the court may allow a disposition by plea of guilty to another charge in satisfaction of such charge; provided, however, in all such cases, the court shall set forth upon the record the basis for such disposition. (ii) In any case wherein the charge laid before the court alleges a violation of subdivision two, three, four or four-a of this section, no plea of guilty to subdivision one of this section shall be accepted by the court unless such plea includes as a condition thereof the requirement that the defendant attend and complete the alcohol and drug rehabilitation program established pursuant to section eleven hundred ninety-six of this article, including any assessment and treatment required thereby; provided, however, that such requirement may be waived by the court upon application of the district attorney or the defendant demonstrating that the defendant, as a condition of the plea, has been required to enter into and complete an alcohol or drug treatment program prescribed pursuant to an alcohol or substance abuse screening or assessment conducted pursuant to section eleven hundred ninety-eight-a of this article or for other good cause shown. The provisions of this subparagraph shall apply, notwithstanding any bars to""]",15세 이하의 아이를 동승시킨 상태로 음주운전을 하면 가중 음주운전이 적용되어 일반 음주운전보다 더 무거운 처벌을 받습니다.,3
인디언 보호구역에서 담배 사면 세금 안 내도 돼요?,"[""Current through Register Vol. 46, No. 28, July 10, 2024 Tax Law, §§ 470, 471, 471-e and 475 (a) General. (1) Qualified Indians may purchase cigarettes for such qualified Indians' own use or consumption exempt from cigarette tax on their nations' or tribes' qualified reservations. However, such qualified Indians purchasing cigarettes off their reservations or on another nation's or tribe's reservation, and non-Indians making cigarette purchases on an Indian reservation are not exempt from paying the cigarette tax when purchasing cigarettes within this State. (2) All cigarettes sold on an Indian reservation to non-members of the Indian nation or tribe and to non-Indians will be taxed, and evidence of such tax will be by means of an affixed cigarette tax stamp. (3) All cigarettes sold by agents and wholesale dealers to Indian nations or tribes or reservation cigarette sellers located on Indian reservations must bear a tax stamp. (4) As provided in subdivision (b) of this section, an Indian nation or tribe may elect to participate in the Indian tax exemption coupon system established in section 471-e of the Tax Law which provides a mechanism for the collection of tax on cigarette sales on its qualified reservation to non-members of the Indian nation or tribe and to non-Indians and for the delivery of quantities of tax-exempt cigarettes to the Indian nation or tribe for the use or consumption of the nation or tribe or by its members. (5) If an Indian nation or tribe within this State does not elect to participate in the Indian tax exemption coupon system, the prior approval system established in section 471 (5) of the Tax Law will be the mechanism for the delivery of quantities of tax-exempt cigarettes to the Indian nation or tribe for the use or consumption of the nation or tribe or by its members as set forth in subdivision (d) of this section.""]",자격을 갖춘 인디언이 자신의 부족 보호구역 내에서 구매하는 경우에만 담배세가 면제됩니다. 인디언이 아닌 일반인은 보호구역에서 구매하더라도 담배세를 납부해야 합니다.,3
직원 급여 기록은 얼마나 오래 보관해야 해요?,"[""§ 696-e. Records of employers. For every employee covered by this article, every employer shall establish, maintain, and preserve for not less than six years contemporaneous, true, and accurate payroll records showing for each week worked the hours worked, the compensation provided, plus such other information as the commissioner deems material and necessary. For all covered airport workers who are not exempt from overtime compensation as established in the commissioner's minimum wage orders or otherwise provided by law, rule, or regulation, the payroll records shall include the compensation provided and the regular hourly rate or rates of pay, the overtime rate or rates of pay, the number of regular hours worked, the number of overtime hours worked and the cost of benefits and/or benefit supplements. On demand, the employer shall furnish to the commissioner or his or her duly authorized representative a sworn statement of the hours worked, rate or rates of compensation, for each covered airport worker, plus such other information as the commissioner deems material and necessary. Every employer shall keep such records open to inspection by the commissioner or his or her duly authorized representative at any reasonable time. Every employer of a covered airport worker shall keep a digest and summary of this article which shall be prepared by the commissioner, posted in a conspicuous place in his or her establishment and shall also keep posted such additional copies of said digest and summary as the commissioner prescribes. Employers shall, on request, be furnished with copies of this article and of orders, and of digests and summaries thereof, without charge. Employers shall permit the commissioner or his or her duly authorized representative to question without interference any employee of such employer in a private location at the place of employment and during working hours in respect to the wages paid to and the hours worked by such employee or other employees.""]","모든 직원에 대해 근무 시간, 보수 등 급여 기록을 최소 6년간 보관해야 합니다.",3
스프레드 오브 아워가 정확히 뭐예요? 식사 시간도 포함돼요?,"[""Current through Register Vol. 46, No. 28, July 10, 2024 The spread of hours is the interval between the beginning and end of an employee's workday. The spread of hours for any day includes working time plus time off for meals plus intervals off duty.""]","업무를 시작한 시각부터 끝나는 시각까지의 전체 간격을 말하며, 실제 근무 시간, 식사 시간, 그 외 휴식 시간을 모두 포함합니다.",3
공무원인데 근무 중에 다쳐서 일을 그만두게 됐어요. 휴직은 얼마나 보장돼요?,"[""§ 71. Reinstatement after separation for disability. Where an employee has been separated from the service by reason of a disability resulting from occupational injury or disease as defined in the workmen's compensation law, he or she shall be entitled to a leave of absence for at least one year, unless his or her disability is of such a nature as to permanently incapacitate him or her for the performance of the duties of his or her position. Notwithstanding the foregoing, where an employee has been separated from the service by reason of a disability resulting from an assault sustained in the course of his or her employment, he or she shall be entitled to a leave of absence for at least two years, unless his or her disability is of such a nature as to permanently incapacitate him or her for the performance of the duties of his or her position. Such employee may, within one year after the termination of such disability, make application to the civil service department or municipal commission having jurisdiction over the position last held by such employee for a medical examination to be conducted by a medical officer selected for that purpose by such department or commission. If, upon such medical examination, such medical officer shall certify that such person is physically and mentally fit to perform the duties of his or her former position, he or she shall be reinstated to his or her former position, if vacant, or to a vacancy in a similar position or a position in a lower grade in the same occupational field, or to a vacant position for which he or she was eligible for transfer. If no appropriate vacancy shall exist to which reinstatement may be made, or if the work load does not warrant the filling of such vacancy, the name of such person shall be placed upon a preferred list for his or her former position, and he or she shall be eligible for reinstatement from such preferred list for a period of four years. In the event that such person is reinstated to a position in a grade lower than that of his or her former position, his or her name shall be placed on the preferred eligible list for his or her former position or any similar position. This section shall not be deemed to modify or supersede any other provisions of law applicable to the re-employment of persons retired from the public service on account of disability.""]",업무상 부상이나 질병으로 직장을 떠난 공무원은 최소 1년의 휴직이 보장됩니다. 근무 중 폭행으로 인한 부상이라면 최소 2년까지 보장됩니다. 다만 장애가 영구적이어서 직무 수행이 불가능한 경우는 제외됩니다.,3
다른 사람 카드 정보로 가짜 카드 만들면 어떻게 돼요?,"[""§ 170.75 Fraudulent making of an electronic access device in the second degree. A person is guilty of fraudulent making of an electronic access device in the second degree when, with intent to defraud, deceive or injure another, he falsely makes, completes or alters two or more electronic access devices, as that term is defined in subdivision eight of section 170.00 of this article. Fraudulent making of an electronic access device in the second degree is a class D felony.""]",타인을 속이거나 해칠 의도로 전자 접속 장치를 2개 이상 위조하거나 변조한 경우 D급 중죄에 해당합니다.,3
