Model,평균점수,참여태스크수
geevec-ai/geevec-embeddings-1.0,0.8936,2
Qwen/Qwen3-Embedding-4B,0.883,2
Qwen/Qwen3-Embedding-0.6B,0.8677,2
geevec-ai/geevec-embeddings-1.0-lite,0.849,2
Octen/Octen-Embedding-8B,0.8294,4
Octen/Octen-Embedding-8B-INT8,0.7864,3
perplexity-ai/pplx-embed-v1-4b,0.7792,2
perplexity-ai/pplx-embed-v1-0.6b,0.771,2
bflhc/MoD-Embedding,0.7623,3
Mira190/Euler-Legal-Embedding-V1,0.7604,5
tencent/KaLM-Embedding-Gemma3-12B-2511,0.7548,2
microsoft/harrier-oss-v1-27b,0.7546,2
nvidia/llama-embed-nemotron-8b,0.7509,2
Qwen/Qwen3-Embedding-8B,0.7434,4
Octen/Octen-Embedding-4B,0.7413,3
Octen/Octen-Embedding-4B-INT8,0.7346,3
Octen/Octen-Embedding-0.6B,0.7291,3
voyageai/voyage-multilingual-2,0.7046,2
voyageai/voyage-large-2-instruct,0.6804,2
BidirLM/BidirLM-Omni-2.5B-Embedding,0.6784,2
voyageai/voyage-3-large,0.6767,4
voyageai/voyage-3,0.6672,5
zeroentropy/zembed-1,0.6643,2
google/embeddinggemma-300m,0.6622,2
ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,0.6614,5
codefuse-ai/F2LLM-v2-14B,0.6613,5
google/gemini-embedding-001,0.6608,4
infly/inf-retriever-v1,0.6605,5
microsoft/harrier-oss-v1-0.6b,0.6597,2
codefuse-ai/F2LLM-v2-8B,0.6578,5
voyageai/voyage-3.5,0.6556,4
microsoft/harrier-oss-v1-270m,0.6497,2
GritLM/GritLM-7B,0.6496,5
BidirLM/BidirLM-1.7B-Embedding,0.648,2
Linq-AI-Research/Linq-Embed-Mistral,0.6461,5
ICT-TIME-and-Querit/BOOM_4B_v1,0.6431,5
Salesforce/SFR-Embedding-2_R,0.6409,5
jinaai/jina-embeddings-v5-omni-small,0.6403,4
jinaai/jina-embeddings-v5-text-small,0.6403,4
google/text-multilingual-embedding-002,0.6399,2
codefuse-ai/F2LLM-v2-4B,0.639,5
infly/inf-retriever-v1-1.5b,0.6385,5
Salesforce/SFR-Embedding-Mistral,0.6384,5
infgrad/Jasper-Token-Compression-600M,0.6346,5
NovaSearch/jasper_en_vision_language_v1,0.6323,5
nvidia/NV-Embed-v1,0.631,5
VPLabs/SearchMap_Preview,0.6303,5
intfloat/e5-mistral-7b-instruct,0.6293,5
jinaai/jina-embeddings-v5-omni-nano,0.6287,4
jinaai/jina-embeddings-v5-text-nano,0.6287,4
codefuse-ai/F2LLM-v2-1.7B,0.6284,5
nomic-ai/nomic-embed-text-v1-ablated,0.6276,4
BidirLM/BidirLM-1B-Embedding,0.6276,2
jinaai/jina-embeddings-v4,0.6253,4
voyageai/voyage-3-lite,0.6247,5
openai/text-embedding-3-large,0.623,4
GritLM/GritLM-8x7B,0.6212,5
intfloat/multilingual-e5-small,0.6204,9
Alibaba-NLP/gte-Qwen2-1.5B-instruct,0.6185,5
codefuse-ai/F2LLM-v2-0.6B,0.6153,5
Bytedance/Seed1.6-embedding-1215,0.612,2
openai/text-embedding-3-small,0.6112,5
Snowflake/snowflake-arctic-embed-m-v2.0,0.6097,5
BidirLM/BidirLM-0.6B-Embedding,0.6083,2
HIT-TMG/KaLM-embedding-multilingual-mini-v1,0.6062,5
nvidia/NV-Embed-v2,0.6057,5
intfloat/multilingual-e5-large-instruct,0.6042,5
NovaSearch/stella_en_400M_v5,0.6041,5
Alibaba-NLP/gte-Qwen2-7B-instruct,0.6023,5
Alibaba-NLP/gte-multilingual-base,0.5989,5
codefuse-ai/F2LLM-v2-330M,0.5971,5
jinaai/jina-embeddings-v3,0.5964,5
Alibaba-NLP/gte-Qwen1.5-7B-instruct,0.5961,5
Snowflake/snowflake-arctic-embed-l-v2.0,0.5952,5
voyageai/voyage-4-large_(embed_dim=2048),0.5875,3
deepvk/USER-bge-m3,0.5865,5
Snowflake/snowflake-arctic-embed-l,0.5839,5
Cohere/Cohere-embed-multilingual-v3.0,0.5838,5
Cohere/Cohere-embed-english-v3.0,0.5834,5
OrdalieTech/Solon-embeddings-large-0.1,0.5832,5
nomic-ai/nomic-embed-text-v1-unsupervised,0.5829,5
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,0.5817,5
voyageai/voyage-4-large,0.5804,3
BidirLM/BidirLM-270M-Embedding,0.578,2
w601sxs/b1ade-embed,0.5774,5
avsolatorio/GIST-large-Embedding-v0,0.5773,5
Snowflake/snowflake-arctic-embed-m-v1.5,0.5766,5
NovaSearch/stella_en_1.5B_v5,0.5755,5
manveertamber/cadet-embed-base-v1,0.5747,5
ibm-granite/granite-embedding-125m-english,0.5726,5
Snowflake/snowflake-arctic-embed-m,0.5723,5
Lajavaness/bilingual-embedding-large,0.5716,5
manu/bge-m3-custom-fr,0.5689,5
thenlper/gte-large,0.566,5
Cohere/Cohere-embed-multilingual-light-v3.0,0.563,5
avsolatorio/GIST-Embedding-v0,0.5628,5
avsolatorio/GIST-small-Embedding-v0,0.5601,5
voyageai/voyage-4,0.5596,3
BAAI/bge-base-en-v1.5,0.5585,5
thenlper/gte-base,0.5574,5
Snowflake/snowflake-arctic-embed-s,0.556,5
Mihaiii/Ivysaur,0.5552,5
Snowflake/snowflake-arctic-embed-m-long,0.555,5
codefuse-ai/F2LLM-v2-160M,0.5544,5
intfloat/e5-large-v2,0.5544,5
mixedbread-ai/mxbai-embed-large-v1,0.5538,5
voyageai/voyage-3.5_(output_dtype=int8),0.5536,3
avsolatorio/GIST-all-MiniLM-L6-v2,0.5526,5
Lajavaness/bilingual-embedding-small,0.5524,5
thenlper/gte-small,0.5517,5
Cohere/Cohere-embed-english-light-v3.0,0.5515,5
avsolatorio/NoInstruct-small-Embedding-v0,0.5509,5
intfloat/e5-large,0.55,5
BAAI/bge-large-en-v1.5,0.5485,5
jinaai/jina-embedding-b-en-v1,0.5482,5
BAAI/bge-m3,0.5469,4
WhereIsAI/UAE-Large-V1,0.5462,5
dwzhu/e5-base-4k,0.5454,5
sdadas/mmlw-e5-large,0.545,5
mteb/baseline-bm25s,0.5449,5
intfloat/multilingual-e5-large,0.5448,5
nomic-ai/nomic-embed-text-v1,0.5439,5
voyageai/voyage-4-lite,0.5434,3
BAAI/bge-small-en-v1.5,0.5434,5
infgrad/stella-base-en-v2,0.5415,5
Lajavaness/bilingual-embedding-base,0.541,5
ibm-granite/granite-embedding-311m-multilingual-r2,0.5388,4
intfloat/e5-base-v2,0.5387,5
Snowflake/snowflake-arctic-embed-xs,0.5375,5
intfloat/e5-small-v2,0.5371,5
manu/sentence_croissant_alpha_v0.4,0.5368,5
sdadas/mmlw-e5-base,0.5367,5
manu/sentence_croissant_alpha_v0.3,0.5366,5
sdadas/mmlw-roberta-large,0.5334,5
sentence-transformers/all-mpnet-base-v2,0.5332,5
ibm-granite/granite-embedding-278m-multilingual,0.533,5
intfloat/multilingual-e5-base,0.5322,5
abhinand/MedEmbed-small-v0.1,0.5302,5
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,0.5299,5
ibm-granite/granite-embedding-97m-multilingual-r2,0.527,4
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5255,9
manu/sentence_croissant_alpha_v0.2,0.5231,5
intfloat/e5-small,0.5231,5
sdadas/mmlw-e5-small,0.5212,5
nomic-ai/nomic-embed-text-v1.5,0.5204,5
deepfile/embedder-100p,0.519,5
jinaai/jina-embedding-s-en-v1,0.5169,5
voyageai/voyage-3.5_(output_dtype=binary),0.5167,3
ibm-granite/granite-embedding-30m-english,0.5164,5
Mihaiii/gte-micro-v4,0.5162,5
intfloat/e5-base,0.5156,5
sdadas/mmlw-roberta-base,0.5128,5
codefuse-ai/F2LLM-v2-80M,0.5117,5
Mihaiii/Bulbasaur,0.5068,5
sentence-transformers/all-MiniLM-L6-v2,0.5025,5
brahmairesearch/slx-v0.1,0.5025,5
ibm-granite/granite-embedding-107m-multilingual,0.4999,5
ai-forever/ru-en-RoSBERTa,0.4911,5
sentence-transformers/all-MiniLM-L12-v2,0.4877,5
sergeyzh/LaBSE-ru-turbo,0.4845,5
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.473,5
sentence-transformers/static-similarity-mrl-multilingual-v1,0.4719,5
minishlab/potion-base-8M,0.469,5
izhx/udever-bloom-1b1,0.4668,4
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,0.4657,5
omarelshehy/arabic-english-sts-matryoshka,0.4645,5
google/gemini-embedding-2-preview,0.4627,3
google/text-embedding-004,0.4596,3
Mihaiii/Wartortle,0.455,5
bigscience/sgpt-bloom-7b1-msmarco,0.4526,5
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,0.452,5
minishlab/potion-base-4M,0.4497,5
google/text-embedding-005,0.4464,3
minishlab/potion-multilingual-128M,0.4428,5
Cohere/Cohere-embed-v4.0_(output_dtype=binary),0.4422,3
Mihaiii/Venusaur,0.4349,5
Haon-Chen/speed-embedding-7b-instruct,0.4346,5
Cohere/Cohere-embed-v4.0_(output_dtype=int8),0.4329,3
Cohere/Cohere-embed-v4.0,0.4322,3
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,0.4318,5
telepix/PIXIE-Rune-v1.0,0.4301,3
minishlab/M2V_base_glove,0.4299,5
cointegrated/LaBSE-en-ru,0.4275,5
sentence-transformers/LaBSE,0.4247,5
consciousAI/cai-lunaris-text-embeddings,0.4208,5
aari1995/German_Semantic_STS_V2,0.4174,5
minishlab/M2V_base_output,0.4164,5
BAAI/bge-m3-unsupervised,0.4162,3
Mihaiii/Squirtle,0.4116,5
minishlab/M2V_base_glove_subword,0.4103,5
shibing624/text2vec-base-multilingual,0.4088,5
Gameselo/STS-multilingual-mpnet-base-v2,0.4058,5
Alibaba-NLP/gte-base-en-v1.5,0.4034,3
minishlab/potion-base-2M,0.403,5
deepvk/USER-base,0.3959,5
ibm-granite/granite-embedding-english-r2,0.3913,3
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,0.391,5
izhx/udever-bloom-7b1,0.3791,4
bisectgroup/BiCA-base,0.3769,3
MongoDB/mdbr-leaf-ir,0.3755,3
Mihaiii/gte-micro,0.3664,5
BAAI/bge-large-en,0.3644,3
BAAI/bge-base-en,0.3626,3
ibm-granite/granite-embedding-small-english-r2,0.36,3
MongoDB/mdbr-leaf-mt,0.355,3
sergeyzh/rubert-tiny-turbo,0.3444,5
sentence-transformers/static-retrieval-mrl-en-v1,0.3417,3
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,0.3301,3
cointegrated/rubert-tiny2,0.3275,5
izhx/udever-bloom-3b,0.3224,4
silma-ai/silma-embeddding-matryoshka-v0.1,0.2938,5
cointegrated/rubert-tiny,0.2851,5
Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,0.2789,5
BAAI/bge-large-zh-v1.5,0.2718,3
BAAI/bge-base-zh-v1.5,0.2571,3
Jaume/gemma-2b-embeddings,0.2558,5
minishlab/M2V_multilingual_output,0.2548,3
izhx/udever-bloom-560m,0.2372,4
Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,0.2346,5
jinaai/jina-embeddings-v2-small-en,0.2276,5
BAAI/bge-small-zh-v1.5,0.2177,3
DeepPavlov/distilrubert-small-cased-conversational,0.2142,5
DeepPavlov/rubert-base-cased-sentence,0.1895,5
shibing624/text2vec-base-chinese,0.1744,3
Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,0.1694,5
ai-forever/sbert_large_nlu_ru,0.1643,5
ai-forever/sbert_large_mt_nlu_ru,0.1516,5
malenia1/ternary-weight-embedding,0.1272,5
DeepPavlov/rubert-base-cased,0.1263,5
deepvk/deberta-v1-base,0.0979,5
jinaai/jina-embeddings-v2-base-en,0.0416,5
mteb/baseline-random-encoder,0.0372,4
